% # columns="iteration, evaluation, void, void, void, xmean", seed=1049903, Mon Sep 26 16:38:49 2016 # scaling_of_variables: 1, typical_x: 0
0 0 0 0.0 nan 1 1 1 1 1 1 1 1 1
1 10 0 0.0 nan 6088.52014877 5794.03390862 3108.95188525 -1054.88224854 -6169.75427884 4353.50891565 4387.52402164 -4740.6382346 4199.43637114
2 20 0 0.0 nan 241.292990576 3984.45489894 -5112.07715967 4310.77200834 -4759.78368559 3682.17154862 -3741.9923328 5243.59491535 -486.11636489
3 30 0 0.0 nan 3845.74563409 4814.60721687 -6171.6861648 -2021.09629623 -2437.74566404 1157.13118879 294.510641727 9440.25532351 -1959.52074331
4 40 0 0.0 nan 5801.0371157 4000.74367959 -6443.67965763 1258.85910656 -85.9758328541 1953.23116696 -2614.9450923 6476.29777625 -3383.35561089
5 50 0 0.0 nan 4156.46494304 10829.655302 -4495.89721193 1534.24119896 2209.02453245 -1794.82884675 -4627.99982972 778.561822116 -1675.67431554
6 60 0 0.0 nan 2519.95604458 11129.1290291 -3428.774274 -6122.59944899 8250.72318537 -2761.2847548 915.617910712 -1092.05312431 2552.3663101
7 70 0 0.0 nan 1332.20137653 14438.1583749 -3015.70573733 -1281.25299967 6335.45397755 -6151.6959624 -1956.76520995 -3714.62683281 2428.60436703
8 80 0 0.0 nan 1878.27599958 12437.5967387 -1991.22942826 1373.04290671 6878.74728105 -6917.37197797 -7525.75240783 1767.53989599 -2979.78839929
9 90 0 0.0 nan 2387.75630154 13499.5699758 -4363.27688021 4715.81488081 3912.26160527 -590.457552797 -7092.92976837 5698.70756233 -1728.27232807
10 100 0 0.0 nan 5274.85692839 9660.82457043 1555.64598173 3206.08722131 -2328.45226718 2613.77341479 -7291.53042097 5089.66953383 -231.477711215
11 110 0 0.0 nan 3701.92618377 9835.79080868 -853.034410547 4038.65530463 -1952.22571058 797.93105792 -2831.75877537 7529.55024028 995.652816905
12 120 0 0.0 nan 5490.9719187 8987.43023817 -647.723607417 1209.27600457 -1136.58812112 501.333482828 -505.787816173 4556.02197302 2264.53299545
